Full Name,Author IDs
konrad kording,"['150174214', '117802858', '3282030', '2125917123']"
jonathan pillow,"['122413326', '2066071995', '1791723', '104134819', '143781849', '92508794']"
jakob macke,"['81550838', '1748468', '120371668', '1825793727']"
alex gomez-marin,[]
roozbeh kiani,"['2050606', '50018291', '81827077', '147248542']"
daniel butts,"['3139087', '1589082164', '19302985', '118093394', '6877434']"
matthew smith,"['39842510', '48533852', '2216218071', '2110170245', '2110170382', '2110170037', '2218780507', '2110170643', '2110172941', '2110172803', '2143607586', '2143607411', '2110172959', '2143607773', '2110171215', '2110172393', '2116753077', '2110170565', '2110170782', '2209887462', '2110171573', '2143607475', '2143607641', '2110170064', '48533868', '2110171020', '2110170263', '2110170022', '2110172055', '2157825246', '2110173333', '2143607344', '2110170286', '2110171850', '2118501816', '2116753008', '2218780542', '2209887359', '2110170080', '2143607355', '47021771', '2218780492', '152736753', '2110170815', '2143607530', '2216218058', '2216218042', '2216218181', '2216218140', '2216218147', '2216218081', '2216218056', '2191749445', '2216218107', '48533739', '2209887594', '2216218179', '2110169999', '2110170003', '2110170054', '2143607565', '2143607525', '2110171240', '115693147', '50043983', '2218780534', '2110170435', '2110172992', '2143607370', '2110171057', '2143607226', '152736715', '2192047065', '2143607240', '144161868', '2218780602', '2110170123', '2110172465', '2143607549', '2143607709', '1768423460', '2034556939', '2143607809', '2143607636', '152736607', '2110171697', '2143607655', '152736588', '2143607218', '2110170601', '2110170044', '2110172210', '2143607266', '2110172775', '2216218102', '72370916', '39950056', '50044347', '2149041458', '2110171989']"
philipp berens,['1689077']
reza shadmehr,"['2927174', '2055919700', '116932731']"
il memming park,"['2119263020', '37281027', '2154293292']"
liam paninski,"['1763504', '118318460']"
byron yu,"['3178390', '2182137', '2110313808', '2110313851']"
srinivas turaga,"['3178417', '2092048967']"
laura busse,"['50635941', '2070211833', '4245655', '2154846344', '2107383490']"
robbe goris,['46714220']
carsen stringer,"['23980213', '2143896342']"
ashley petersen,"['2151308301', '145448276', '34712871', '2064339721', '2064340126', '145448275', '1404169328', '2180637210', '2154782893', '2064339658', '2064339949']"
gal mishne,"['2074112750', '24394460']"
marius pachitariu,"['3090784', '2143950094']"
matthew whiteway,['4963042']
jordan rodu,"['2574090', '2121551800', '2139317100']"
alex williams,"['35732732', '1932922887', '2117057552', '79382824', '2116170611', '145234308', '145252270', '2051746606', '46320494', '144437964', '51325809', '7432889', '1943168715', '146221904', '114101276', '1841636734', '2116170618', '11151983', '152622434', '46320594', '113038472', '115136410', '119707417', '1409670868', '1663590141', '2148412883', '2116169877', '2116170473', '46320573', '2212084745', '2216447417', '2138427580', '2055770302', '118609094', '32169580', '144534571', '49529885', '40008040', '151391236', '90962294', '2217204456', '1402769688', '107838133', '2212084737', '2003611920', '2110028565', '1486009514', '2216447419', '120745674', '144652146']"
demba ba,"['137243233', '87047630', '81993773', '77473459', '145004878', '2140914808', '2079977986', '40575006', '89423398', '143860884', '2079977988', '2064096682', '4403958', '2163915709', '2158718294', '2124558376', '79268728']"
jörn diedrichsen,"['2026408239', '2935706', '70528489', '2064674690', '2081897593', '2188364476']"
peter dayan,"['1790646', '46902274', '49924736', '2065790871', '71047199', '95985433', '2065790839', '145591278', '2065790832', '2065790889', '2065790880', '2190758396', '2090548435', '81821899', '2102860968']"
adam charles,"['122688869', '2061016595', '144305878', '3943819', '120538270', '119211084', '2078291141', '94180561', '66784579', '2056357034', '102990580', '38692923', '2078204179', '145575913', '143855194', '47343640', '21600908', '119263507', '2056833162', '13872988', '2109449292', '73446656', '48185107', '34715343', '143855190', '97774412', '96615032', '2115202968', '2142618374', '107929351', '119505855', '2077348829', '48671233', '122622859', '101984282', '2058882114', '153507109', '51207139', '1397428443', '14116792', '80051313', '2069379716', '2723276', '2064233012', '1484716304', '34841844', '73681721', '73567754', '94425205', '48996079', '83360346', '1582016381', '46693962', '2073123240', '2055845255', '93531232', '103663236', '2069742769', '37340943', '143753161', '1382328749', '4951292', '145928077', '47080190', '5169129', '47765335', '87403692', '2093373329', '145519682', '148034181', '98506076', '31856449', '2005033926', '40402082', '5016700', '103891773', '46597817', '89619404', '2052380774', '2072898562', '2058538326', '143958584', '119749770', '47355064', '2056356628', '73919685', '2090390325', '119944727', '1759665838', '2059754012', '2056356321', '116912204', '20621792', '2055286605', '1666147820', '1832159663', '2058881547', '2056356875', '133732932', '2056356970']"
dan goodman,"['2084615040', '1866844', '2052148574', '2052148584', '98003727', '34613009', '49843561', '2052148518', '2076892044', '144462548', '31519886', '2052148601', '145258856', '1654675846', '26708623']"
ian charest,"['48704346', '2183803075']"
bernard marius 't hart,"['1400884009', '2059430556', '37045035', '2036351658', '1748895376', '71002616']"
jan drugowitsch,"['2980740', '2064846608']"
ruben moreno bote,"['1434764089', '1401845875', '2185035264']"
michael waskom,"['2440028', '2143875205', '2102145278']"
john cunningham,"['2086444226', '47729405', '2055014934', '2055015104', '2055015191', '2055015513', '144279932', '2055015453', '2055015183', '81660020', '153424159', '20700982', '2055015407', '2575774', '2055014992', '1397472879', '2002733', '2140409011', '88554227', '2055015084', '144279937', '2075423019', '143965211', '144279930', '145435873', '1885741', '143987023', '2055015324', '40224701', '49241429', '79225624', '39893056', '144201229', '144279927', '1400120676', '123847371', '2055015296', '2055015193', '103352573', '2055015577', '2055015376', '51972155', '2055015102', '143944137', '103261946', '32281732', '2055015294', '117959232', '2055015589', '2055015379', '2055015186', '81660016', '2075423146', '2075423118', '1475488021', '81660018', '96555759', '2055015630', '79225628', '2055015443', '92820499', '2196193764', '84656935', '50752087', '2075422867', '123847391', '143965209', '75143790', '2075422972', '47729554', '2058192814', '2055015144', '118412396', '3051340', '2113464681', '2979533', '2055015279', '144934865', '71044303', '134631427', '144279933', '2055015548', '50752130', '134631426', '2071520335', '71673240', '47729546', '47729446', '67301919', '2661122', '118412383', '2055015259', '2058475934', '2057121033', '145435861', '2055015438', '2055015066', '144279931', '2055015150', '2055015167']"
samuel j gershman,['1831199']
karl friston,"['70438543', '1737497', '72503110', '2138358863', '2059894927', '2155175724']"
rosalyn moran,"['39116315', '47430539', '145220670']"
chris mathys,"['1859583', '2157524433']"
carlos brody,"['1666982799', '145636368', '117336663']"
kenneth latimer,"['2262408', '37803665', '1929348', '2062716463']"
dmitry kobak,"['46409727', '2088233450', '104466831', '2210071818']"
sara a solla,['1759839']
marijn van vliet,"['2144114712', '1817120', '73774737', '1419693957', '1446736928']"
adam santoro,"['145811355', '49295158', '2057347076', '35030998']"
momchil tomov,['51173086']
richard gao,"['97941643', '2057938511', '1445128702', '32850847', '1996186744', '2057937940', '2057938434', '30177922', '1450450564', '49542709']"
stephen keeley,"['152738916', '115741311', '66540339', '115741307', '83433232']"
karolina stosio,['1396942547']
eugenio piasini,"['8873160', '2143280152']"
julio martinez-trujillo,[]
luca mazzucato,['4307298']
stanley lazic,"['3918525', '2066981082']"
gerald pho,"['49529467', '2213302726']"
anqi wu,"['2059689581', '2075411131', '150928489', '1564959351', '46840815', '2075411328', '2075410801', '115016812', '101668142', '2048490599', '102663723', '2075411361', '2186818568', '2075410123', '39722860', '153267140', '2075410973', '2211133800', '2048006427', '2075410401', '33515312', '2075410870', '1692519105', '2075410543', '2075411191', '2179006833', '2059689584', '2075411288']"
natalie klein,"['145685833', '2060587066', '152801565', '47406546', '39004994', '37587386', '34162937', '145456963', '90454627', '2214359005', '152174159', '2060587165', '2214181016', '2136868370', '1486201694', '2102267470', '2060587189', '117167352', '1420495130', '1439067385', '2060587117', '2100112294']"
brian anderson,"['2064907519', '87957780', '8674904', '145079983', '2064913531', '26925652', '2064906932', '2064912740', '1384253559', '2064913184', '2064913017', '2064907027', '145079992', '2064907152', '50237643', '48726869', '2064909256', '48726820', '2064907770', '2064909200', '50237484', '145079994', '2064909317', '33857530', '39749030', '2064909504', '2064906307', '48726771', '2064911675', '143607976', '2064907317', '2064910631', '8299932', '50237437', '145079987', '90144282', '2064907000', '2107581982', '2000724660', '2007873546', '122303265', '40407466', '2064907548', '50237511', '48726868', '2064909186', '122303268', '2064912900', '2064907255', '2064913382', '20297089', '2064911849', '34126295', '2064907436', '2195208884', '48726819', '48726795', '37135306', '122303271', '2064907631', '2064909596', '2064908925', '116405328', '143889550', '2048883818', '2064909479', '2064910052', '3004352', '48726892', '145079984', '152162240', '2064913617', '2064911414', '2064911621', '2064912209', '46455429', '144580858', '98378382', '122303258', '152767379', '48726902', '145544496', '2064909691', '116405348', '32018421', '152162248', '2064906793', '14397568', '47215834', '2064908495', '2064909519', '108606815', '2064909679', '6482049', '2064907776', '1974840157', '2064911670', '2064911010', '2129916135', '2110843977']"
matthias kümmerer,['2997408']
juraj mesik,['4743759']
jona sassenhagen,"['116428076', '1409203388', '5286139']"
brad postle,['2884176']
georg martius,"['144247523', '144247521', '2064496934', '147473862', '2150312231', '2155556100']"
brad wyble,"['50985520', '46520750']"
bradley love,"['117232701', '2408794', '10129234', '48796382', '1934400', '2215485734', '2169258032', '101362813', '2056604244']"
nikolaus kriegeskorte,"['3351205', '90392603']"
josh cashaback,[]
scott albert,"['15908418', '150290606', '48904152', '144494207', '31851262', '2066306005', '47924575', '29942994', '118034953', '100591048', '2072893409', '34202726', '13852846', '118567110', '70531240', '91974229', '1470700199', '2113633829', '119169398', '1475673827', '144719596', '145245517', '50625072', '12670017', '145647856', '2143984835', '144549910', '1643955644', '2123703949', '148083995', '1383550286', '2184798823', '2067135349', '151144799', '2066306295', '2338585', '146118833', '1397128523', '84377585', '47272927', '152279997', '31537829', '46773946', '148163205', '2107750802', '2103063034', '2103245524']"
li-ann leow,[]
ruben coen-cagli,[]
jean-remi king,[]
joel dapello,['6032403']
kyle mathewson,"['3486643', '2153186794', '2167056060', '2134516949', '1841419', '2126602776']"
kendra burbank,['2600616']
douglas tweed,['144254941']
chethan pandarinath,"['2231933', '2094861666']"
juan alvaro gallego,"['145043768', '152843607', '144076469']"
benjamin cowley,"['153804172', '32208493', '145294418', '2132203', '1429420305']"
mingbo cai,"['122021400', '2052052772', '8593429', '2075300373', '2075300303', '2023855', '2053144036', '144316826']"
erik johnson,"['1968973', '32860825', '2088589613', '47834742', '2118695016', '2148773289', '145846353', '46324225', '2148774321', '2148773657', '2118693758', '29692172', '145106612', '2118694536', '2148773348', '2148773741', '119717442', '2148773617', '2148774115', '2118693678', '2118696085', '2148773369', '2107401351', '2148773603', '145574160', '2148773635', '2149501354', '2149501892', '46324162', '144698848', '2148774359', '145607706', '2118695697', '2852500', '49346472', '65788025', '2032404111', '2148774253', '2118694787', '152524455', '6365070', '2148774215', '119717468', '2148773958', '2149501886', '148287668', '2107401130', '2107402368', '2148465933', '2118694687', '2118696127', '103430120', '2118695422', '2148773103', '2106693834', '2124469012', '2167039081', '144649106', '2148780248', '2107402046', '2118694614', '2115454273', '2118693775', '2148773364', '2118695140', '144171499', '2148773467', '144698849', '46324277', '144865612', '2118694610', '2118695344', '2118694845', '97421861', '153365580', '2107401223', '2107402048', '103358830', '2113717770', '2148773063', '46785969', '2118695234', '2118694666', '2107401730', '2118694421', '2148773190', '2118695748', '2118696257', '2118696196', '2118695125', '2118695519', '2126775450', '2163382330', '2086299070', '2148762416', '2065545176', '145106630', '2148773948', '2118696020', '2148773599']"
yuan zhao,"['1945507380', '2110151078', '2143753908', '24727965', '2117844262', '2157353862', '2110151415', '2110151773', '152621461', '2110150895', '2143753226', '152109150', '49339490', '2143753503', '47827655', '2143754004', '46316860', '2143753321', '2110150975', '2154937099', '2117844268', '2154936738', '2110150390', '2143753645', '2143753520', '2048305158', '2110150698', '47827208', '2110150874', '2110151335', '92905260', '2110150314', '144558200', '2110150872', '29797998', '2117844383', '2110150461', '2110151506', '2110151297', '2110150658', '1491478055', '2143753811', '2110150683', '2154936733', '119698486', '2110150340', '2110150542', '2154936719', '2143753993', '113027231', '49339770', '1749234961', '2117844336', '21220559', '12342905', '144840256', '49339686', '47292353', '2110150383', '2110151107', '103425195', '2110151101', '151031032', '7637072', '14681869', '2146629678', '1485241553', '152621484', '2110151213', '92905253', '2110151864', '2143753435', '2143753367', '2110151580', '2143753334', '2110151656', '108556415', '2110150648', '2036567114', '2110150779', '2110151785', '2154936752', '2110151026', '2110150904', '2110150417', '2143753788', '2110151545', '116714044', '2143753416', '2110151047', '2110150560', '1994479083', '2004812500', '1630517434', '2143753299', '2143753380', '50314633', '2087293948', '2110151860', '2110150918']"
matthew dowling,"['2066358309', '3330067', '144804194', '40101141', '88375748', '144804195', '2120315848', '81400813', '2066358286', '2066358277', '2066358339', '2119555145', '2066358343', '2066358280', '144804193']"
richard naud,"['47408646', '2886128', '2168531490']"
donglai wei,"['2026005612', '1766333', '30967054', '2183381047', '2133995862', '2151797908', '48537985', '144717327', '2115995682']"
brian depasquale,['2955868']
kanaka rajan,"['48353826', '36560753']"
arko ghosh,"['2125145419', '47581587', '29084408', '2110320097', '2110320272']"
shlomi haar,"['1398287514', '82926131']"
radoslaw cichy,"['115203789', '2492727']"
k. seeliger,"['48899166', '12454441', '4719907']"
heiko schuett,['2065346619']
aurelio cortese,"['34439822', '2064720504']"
jessica elizabeth taylor,"['2110029871', '1635060406', '153600009']"
eric schulz,"['49427078', '49427135', '39259648', '47915422', '2053718210', '102322607', '114381466', '2053718069', '2053031202', '1990149514', '144216967', '49427136', '2053718045', '94765131', '2053718354', '2053718324', '49427184', '2053718040', '1601510350', '47706042', '2125483389', '2053717853', '1400546141', '121969645']"
mark lescroart,['3402010']
sarah solomon,"['1576687993', '39577768', '40342873', '2075846511', '47817372', '47817357', '22320002', '12947729', '2056275010', '2056275227', '2142329905', '2211688553', '2056275168', '37941949', '65818880']"
frederic crevecoeur,"['2387001', '2126374615']"
dobromir rahnev,['5226300']
jacob yates,"['32832466', '2120048291', '2055006466', '2055006703']"
weiji ma,['31712060']
steven gross,"['14688134', '79386333', '1824525', '152623028', '113046492', '2070821135', '118610331', '36194205', '2070822029', '103428999', '49344961', '2070822056', '145497179', '2070821235', '46322650', '30537295', '2070821359', '2070821308', '119713640', '118610327', '5769141', '146436146', '39686224', '145497177', '46322702', '2070821828', '46322811', '152623018', '2201805776', '2075412253', '2070821690', '79386322', '153367724', '52254806', '2075395406', '36084833', '2070821583', '2177632324', '2070821594', '46322679', '2070821861', '2196739961', '2070821958']"
corey ziemba,"['4730381', '2142233288']"
grace lindsay,"['32911505', '2451541', '2065373899', '2132127633', '2113312641', '144287041', '90164483', '121438216', '4806646', '2065047660', '118463195', '2219447202', '2133214492', '2185551562']"
luke bashford,['50704455']
yunzhe liu,"['2117964384', '3733267', '80380023', '2117416056', '2214139621', '35420634']"
alessandro bongioanni,"['123617804', '1443772602']"
manuel schottdorf,"['3212422', '2155706416']"
mona garvert,['1976295']
evan russek,['48359498']
jacob bellmund,"['8664777', '2065503832']"
masamichi sakagami,"['3275262', '150302063']"
dasa zeithamova,['2818392']
olavo amaral,"['4948699', '2072134181', '2177470366', '2169129867', '2072134200', '1422283876', '8344219']"
zeb kurth-nelson,[]
angela radulescu,"['48017915', '39698949']"
matt nassar,['2139748853']
ned block,"['2066121834', '113082101', '4536785', '2066121866']"
janneke jehee,['2643539']
david moses,"['2065572855', '1708174130', '2065572775', '116717830', '32854727', '91602315', '39969516', '50315390', '122540158', '145549935', '93079539', '145015964', '46858098', '3265779', '50315566', '121803691', '83014113', '91602314', '84367766', '2074114205', '2065572713', '2057191062', '2059816983', '1997077228', '49220230', '145816654', '2065572879', '2065572709', '50315521', '3818234', '144970040', '153724635', '91141006', '78672914', '1438413450', '37811616', '153239038', '115405789', '143638894', '79634095', '7155196', '2118633508', '1481162146', '1435120978', '2065572769', '118701947', '2059817184', '101354954', '1456689544', '2124066810', '2218095495', '2065572811', '1506079163', '107776557', '69496716', '1518754547', '121320857', '153845477', '114949352', '89874700', '2065572763', '83014112', '48798997', '144579579', '121482047', '2421567', '39776930', '34702485', '2366881', '40501347']"
sergey stavisky,['2737966']
thomas akam,"['2711511', '94100431', '94100430', '2130191816', '2074830232']"
lorenzo fontolan,['4382287']
jelle bruineberg,"['3130787', '147035652', '2049432840']"
lindsey glickfeld,['5364765']
andy clark,"['93172458', '2107850731', '153379464', '2113740349', '2084866045', '2107850073', '2113740675', '48992580', '2107850190', '2113741071', '2113740221', '2113739816', '2113740525', '2113741160', '2113740563', '152371120', '47481420', '2113740535', '2113741197', '1402972734', '84124490', '152408844', '37700983', '143689994', '2113740139', '31349554', '2060816600', '70236344', '152361815', '153379455', '145880329', '65820685', '83336501']"
nuttida rungratsameetaweemana,"['4322638', '2096919127']"
peter dayan,"['1790646', '46902274', '49924736', '2065790871', '71047199', '95985433', '2065790839', '145591278', '2065790832', '2065790889', '2065790880', '2190758396', '2090548435', '81821899', '2102860968']"
nelson johansen,['91241919']
smita krishnaswamy,"['32911702', '144586483']"
christine constantinople,['5502681']
balazs hangya,['6689322']
daniel herrera-esposito,[]
ling-qi zhang,"['108225297', '13800487', '90403877', '102828477', '2805048', '2104845826', '2145398290', '2145398303', '2217456034', '1712174']"
ye xia,"['50184017', '2114144207', '13914869', '23925848', '145206485', '40621052', '153031200', '2110629828', '153031219', '152257773', '2611362', '88752030', '1431625099', '2110629959', '2114146351', '2502447', '66251889', '2110629887', '2114144584', '2114144952', '1391507152', '6477978', '91883809', '48673805', '31286851', '1737842162', '6911372', '2004173740', '153432305', '2110629862', '2114145860', '2216423433', '2110629840', '31286843', '2110629944', '2114144890', '13854168', '83447940', '2946370', '98326162', '47107289', '47161860', '122850838', '9318333', '2114147634', '2919520', '48619302', '113260030', '66717395', '1391418644', '39463256', '2111919528', '1452929192', '2148235789', '3813959', '151485471', '7173657', '2114146831', '101719703', '2114058836', '2114144460', '1471332228', '30726920', '73470770', '2114146564', '73102269', '71839676', '103303968', '144496067', '13792882', '50184141', '2110629823', '2022784083', '7766199', '50236069', '34707605', '25147207', '46488985', '153215873', '2114145657', '2089762185', '2114147685', '33415918', '50184135', '2114056919', '2052980149', '92684298', '2107430969', '145091387', '5705030', '11180807', '2124938185', '7928846', '31103189', '73750680', '2060197442', '2137668676', '2114059008', '5252808', '31231639']"
sina tafazoli,"['2463329', '2168989020']"
mayank agrawal,"['48791614', '50302246', '47280437', '144889500', '47280374', '2674376', '2079110618', '47280401', '47280507', '50302381', '2056898734', '2113931403', '102067276', '50302362']"
timothy west,"['46464140', '1886101288', '47973851', '2059757133', '7773554', '69355447', '145776520', '2059757246', '47973860', '2059757310', '38711283', '143606641', '2059757322', '1403365989', '143959411', '144615422', '2082768074', '102367953', '2215841962', '143638970', '144134927', '73644579', '144615409', '95219455', '113559086', '90037832', '1632649400']"
josue nassar,['49350812']
matthew schlegel,"['145304454', '40369965']"
matthew perich,['5228640']
ryota kobayashi,"['143940045', '2061309956', '50004283', '2061309595', '2061309217', '2061309590', '2061309678', '2061309366', '2061309536', '1400280441', '1752381305', '48493372', '48493135', '2145329914', '2061309814', '2176547003', '2061309283', '2140294712', '2061309553', '143642885', '2061309803', '2061309087', '2061309434', '2061309140', '1450309939', '2061309315', '2000668304', '2131508321', '2061309424', '2157045681', '2201031339', '2061309845', '2100881108', '2061309978', '2192166844', '46981738', '2061309630', '2061310029', '2011320223', '2163460001', '2061309360', '66442063', '40608515', '2061310025', '2163685052', '2150616033', '2070509747', '2180111021', '2177233469', '1682202847']"
